time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-04-02T19:45:04.850Z,-0.5629,123.2936,40.82,4.4,mb,,62,0.706,1.35,us,us1000dckx,2018-04-02T21:53:29.040Z,"70km NE of Luwuk, Indonesia",earthquake,7.6,9.8,0.134,16,reviewed,us,us
2018-04-02T19:36:47.080Z,40.5424995,-122.246666,19.46,2.48,md,17,174,0.08027,0.09,nc,nc72993760,2018-04-02T22:08:02.859Z,"2km SSW of Palo Cedro, CA",earthquake,0.54,0.44,0.15,24,automatic,nc,nc
2018-04-02T19:23:56.820Z,1.623,124.9381,190.13,4.6,mb,,85,2.571,1.09,us,us1000dckf,2018-04-02T23:25:43.040Z,"15km NNW of Laikit, Laikit II (Dimembe), Indonesia",earthquake,4.1,7.6,0.076,51,reviewed,us,us
2018-04-02T19:10:20.840Z,30.0075,131.2325,40.69,4.8,mb,,133,3.122,0.74,us,us1000dck1,2018-04-02T23:27:33.040Z,"83km SSE of Nishinoomote, Japan",earthquake,4.3,8.4,0.049,128,reviewed,us,us
2018-04-02T19:01:35.890Z,55.8488,-149.9195,5.84,3.6,mb,,205,2.318,0.69,us,us1000dcjx,2018-04-02T23:50:32.040Z,"264km SE of Kodiak, Alaska",earthquake,9.5,8.1,0.353,2,reviewed,us,us
2018-04-02T18:19:43.390Z,29.9572,131.201,40.69,4.5,mb,,139,3.17,0.96,us,us1000dcjh,2018-04-02T23:33:23.040Z,"88km SSE of Nishinoomote, Japan",earthquake,9.1,8.5,0.089,37,reviewed,us,us
2018-04-02T17:33:42.190Z,18.3356,-68.2651,75,3.11,md,7,147,0.2129,0.3,pr,pr2018092007,2018-04-02T23:36:23.040Z,"28km ESE of Boca de Yuma, Dominican Republic",earthquake,2.02,1.53,0.32,5,reviewed,pr,pr
2018-04-02T16:55:02.558Z,56.2886,-149.2902,11.7,2.5,ml,,,,0.8,ak,ak18905355,2018-04-02T19:32:59.346Z,"252km SE of Kodiak, Alaska",earthquake,,5.8,,,reviewed,ak,ak
2018-04-02T15:38:14.652Z,55.5937,-150.7579,5,2.6,ml,,,,0.87,ak,ak18903868,2018-04-02T18:44:08.558Z,"264km SSE of Kodiak, Alaska",earthquake,,0,,,reviewed,ak,ak
2018-04-02T15:00:31.910Z,-20.7012,-63.0487,562.86,4.5,mb,,58,5.266,0.8,us,us1000dch5,2018-04-02T18:15:01.445Z,"5km NNE of Carandayti, Bolivia",earthquake,13.9,7.2,0.034,249,reviewed,us,us
2018-04-02T15:00:18.840Z,37.2815,71.8687,149.01,4.1,mb,,86,0.298,0.59,us,us1000dcha,2018-04-02T15:51:54.040Z,"4km NE of Roshtqal'a, Tajikistan",earthquake,6.8,3.4,0.096,30,reviewed,us,us
2018-04-02T14:10:43.700Z,-16.9123,-71.8463,68.88,3.7,ml,,270,2.226,0.43,us,us1000dcnq,2018-04-03T01:04:16.973Z,"21km NE of Mollendo, Peru",earthquake,9.5,51.9,0.077,22,reviewed,us,us
2018-04-02T13:40:34.960Z,-20.652,-63.0167,562.41,6.8,mww,,16,5.314,1.08,us,us1000dce2,2018-04-03T02:25:01.114Z,"12km NNE of Carandayti, Bolivia",earthquake,9.3,3.1,0.047,43,reviewed,us,us
2018-04-02T13:36:17.740Z,-30.3141,-71.435,31.93,4.1,ml,,163,0.397,0.49,us,us1000dce1,2018-04-02T15:30:37.040Z,"38km NW of Ovalle, Chile",earthquake,7.8,15.2,0.048,58,reviewed,us,us
2018-04-02T13:23:52.270Z,42.0874,142.5751,61.46,4.3,mb,,89,0.439,0.71,us,us1000dcdz,2018-04-02T15:06:39.040Z,"32km SSE of Shizunai, Japan",earthquake,8.9,7.7,0.074,51,reviewed,us,us
